@relation scores_train-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute RF numeric
@attribute AB numeric
@attribute NB numeric
@attribute y {0,1}

@data
0.116252,0.440783,0.180231,0
0.099756,0.439706,0.03709,0
0.081914,0.439643,0.010127,0
0.083022,0.439413,0.016339,0
0.083908,0.439614,0.021742,0
0.13528,0.442659,0.126046,0
0.116656,0.442351,0.033178,0
0.119022,0.442335,0.02296,0
0.114826,0.441147,0.049331,1
0.075381,0.439552,0.019845,0
0.141914,0.462807,0.050014,1
0.149837,0.464178,0.285554,0
0.108225,0.441319,0.048054,0
0.141659,0.46298,0.033475,0
0.090541,0.43993,0.028967,0
0.106804,0.439869,0.032759,0
0.097047,0.43989,0.04876,0
0.094469,0.439791,0.024916,0
0.088926,0.439773,0.030602,0
0.06907,0.438895,0.011649,0
0.103548,0.440958,0.030732,0
0.14818,0.464207,0.118799,1
0.110268,0.439969,0.077091,0
0.209279,0.469009,0.866397,0
0.08308,0.43941,0.007023,0
0.09771,0.439893,0.039129,1
0.105588,0.442034,0.068608,0
0.156192,0.463312,0.287298,0
0.104522,0.4414,0.044762,1
0.162841,0.464219,0.931668,0
0.094068,0.439768,0.071929,0
0.223476,0.465125,0.978546,1
0.108478,0.441021,0.04027,0
0.148743,0.463918,0.04784,0
0.081563,0.439231,0.017075,0
0.109424,0.44076,0.149842,0
0.113759,0.441604,0.077631,0
0.144732,0.46428,0.152721,1
0.102151,0.439986,0.052839,0
0.076642,0.439185,0.012322,0
0.098038,0.440836,0.021202,0
0.107888,0.43995,0.049742,0
0.088902,0.439051,0.018312,0
0.09739,0.439933,0.028947,0
0.111175,0.441008,0.175138,0
0.105771,0.440932,0.043747,0
0.202245,0.468326,0.957687,0
0.109961,0.441912,0.024535,0
0.332156,0.470433,1,1
0.099889,0.441323,0.033101,0
0.118926,0.441927,0.027022,0
0.104205,0.441212,0.018058,0
0.122879,0.441013,0.331272,0
0.227671,0.474635,0.997008,0
0.222633,0.469009,0.999764,0
0.104685,0.440618,0.021274,0
0.113383,0.441959,0.023044,0
0.118729,0.442591,0.024667,1
0.148644,0.462947,0.023388,1
0.088949,0.439231,0.018266,0
0.114265,0.440949,0.021781,0
0.097629,0.440711,0.018047,0
0.107433,0.440687,0.190919,0
0.123498,0.441277,0.077687,1
0.099532,0.440683,0.012691,0
0.083573,0.440035,0.0263,0
0.145801,0.463593,0.208439,0
0.104171,0.439914,0.036167,0
0.093421,0.439821,0.032461,0
0.114441,0.440925,0.056591,1
0.092724,0.439893,0.034929,0
0.102102,0.439483,0.021354,0
0.08994,0.439836,0.033855,0
0.120968,0.441373,0.17589,0
0.073428,0.438951,0.01033,0
0.154,0.464585,0.201243,0
0.110536,0.441985,0.025307,0
0.099625,0.440839,0.023212,0
0.185725,0.452545,0.996137,1
0.095818,0.439924,0.03073,0
0.090282,0.439159,0.017579,0
0.096543,0.439769,0.023462,0
0.094661,0.437951,0.013252,0
0.24622,0.474087,0.977368,0
0.161566,0.462808,0.198666,0
0.103969,0.44072,0.026515,0
0.167157,0.463849,0.595054,1
0.108909,0.440793,0.039469,0
0.158016,0.464489,0.191693,0
0.085649,0.439294,0.01983,0
0.079111,0.439373,0.009294,0
0.173911,0.464614,0.297353,0
0.070688,0.438916,0.006969,0
0.160419,0.464306,0.072363,1
0.176141,0.4696,0.918999,1
0.080812,0.437269,0.010077,0
0.178784,0.450101,0.917738,1
0.102558,0.439427,0.01936,0
0.099884,0.441222,0.025798,0
0.094757,0.437807,0.057445,0
0.153086,0.44152,0.703595,0
0.131864,0.442814,0.109819,0
0.075538,0.439621,0.01343,0
0.108056,0.440535,0.024829,1
0.081005,0.439445,0.019934,0
0.149353,0.464313,0.08598,0
0.144077,0.464342,0.098783,0
0.078537,0.43944,0.007303,0
0.10062,0.439918,0.024753,0
0.093904,0.44071,0.018257,0
0.094817,0.44024,0.019235,0
0.111244,0.441101,0.051654,0
0.105696,0.439976,0.078846,0
0.096129,0.440657,0.210027,0
0.073008,0.438962,0.004467,0
0.090058,0.440448,0.017278,0
0.148671,0.463205,0.080849,0
0.116549,0.440995,0.111532,0
0.091815,0.439949,0.016991,0
0.085587,0.439675,0.024462,0
0.108408,0.440003,0.015608,0
0.1561,0.464484,0.089578,1
0.093038,0.440896,0.014973,0
0.122667,0.442669,0.088274,0
0.112391,0.441086,0.034815,0
0.100032,0.440296,0.020868,0
0.110905,0.440942,0.07704,0
0.088405,0.439854,0.02869,0
0.289611,0.474603,1,0
0.09097,0.43983,0.004085,0
0.154781,0.464493,0.089819,0
0.092626,0.439987,0.021428,0
0.099054,0.44131,0.039007,0
0.121224,0.441367,0.075725,1
0.077557,0.439558,0.019202,0
0.113684,0.441123,0.042625,0
0.0834,0.439621,0.031583,0
0.078274,0.437548,0.005917,0
0.079064,0.438999,0.012917,0
0.106373,0.439698,0.054149,0
0.088256,0.439893,0.029354,0
0.099851,0.440948,0.024508,0
0.092598,0.439769,0.036794,0
0.122271,0.442625,0.080281,0
0.098555,0.440839,0.039853,0
0.100617,0.44087,0.026493,0
0.085165,0.440872,0.011946,0
0.14632,0.463369,0.115656,0
0.102418,0.440771,0.018124,0
0.115416,0.441968,0.02423,0
0.199848,0.452043,0.957253,0
0.167707,0.463567,0.532614,0
0.107939,0.441299,0.035837,0
0.125664,0.44241,0.107113,0
0.113795,0.440876,0.2127,0
0.086448,0.43956,0.016081,0
0.087685,0.439851,0.02732,0
0.08895,0.439726,0.032549,0
0.14377,0.442359,0.772061,0
0.084937,0.439828,0.018463,0
0.101192,0.440868,0.152964,0
0.118409,0.441532,0.057178,0
0.076397,0.438981,0.011407,0
0.107998,0.43981,0.051772,0
0.098481,0.440783,0.016473,0
0.103625,0.437773,0.039617,0
0.083448,0.439717,0.027812,0
0.084071,0.439577,0.013709,0
0.072174,0.439222,0.012525,0
0.066261,0.438906,0.004422,0
0.125551,0.441631,0.122502,1
0.082255,0.439614,0.018514,0
0.101642,0.441071,0.046545,1
0.082317,0.440584,0.015706,0
0.158824,0.464604,0.149271,0
0.081255,0.439515,0.013672,0
0.09311,0.44112,0.024071,0
0.082198,0.439614,0.016489,0
0.082095,0.439125,0.015388,0
0.097844,0.44083,0.093954,0
0.082831,0.439071,0.013743,0
0.151988,0.463197,0.079283,0
0.111466,0.44139,0.036656,0
0.122899,0.442678,0.052964,0
0.141231,0.463658,0.027118,0
0.104639,0.440049,0.072873,0
0.108646,0.439804,0.080834,0
0.104243,0.440368,0.022853,0
0.115307,0.44138,0.057455,0
0.110112,0.440389,0.047182,1
0.136584,0.462616,0.055788,0
0.184514,0.450232,0.850732,0
0.1133,0.442438,0.060761,1
0.090067,0.439706,0.028202,0
0.083718,0.439267,0.01331,0
0.101513,0.441855,0.025885,0
0.086139,0.440168,0.015767,0
0.09922,0.439996,0.038918,0
0.112274,0.441399,0.063787,0
0.092713,0.439731,0.027427,0
0.106076,0.440444,0.023608,0
0.163886,0.463395,0.2699,0
0.111,0.439363,0.046065,0
0.108655,0.439798,0.14899,0
0.096296,0.43974,0.057012,0
0.107736,0.43989,0.047746,0
0.098333,0.440966,0.021462,0
0.102765,0.439855,0.047973,0
0.103006,0.439953,0.030539,0
0.10625,0.441084,0.019427,0
0.068433,0.438994,0.006477,0
0.079384,0.439505,0.013445,0
0.107851,0.439966,0.055077,0
0.093709,0.441111,0.007535,0
0.121936,0.442058,0.039466,0
0.114026,0.440805,0.068887,0
0.095937,0.43993,0.048297,0
0.093147,0.439805,0.028409,0
0.124841,0.441095,0.041214,0
0.122308,0.44247,0.06575,1
0.118983,0.441075,0.056258,0
0.082455,0.43944,0.013768,0
0.156718,0.4641,0.159602,0
0.105929,0.439852,0.041559,0
0.148194,0.463195,0.079195,0
0.162077,0.448371,0.979821,1
0.153246,0.463234,0.258537,0
0.105521,0.441113,0.040158,0
0.087232,0.439337,0.021629,0
0.066921,0.438846,0.002991,0
0.175295,0.463914,0.512153,0
0.093531,0.439824,0.028901,0
0.104193,0.441247,0.052917,0
0.22283,0.450631,0.948894,0
0.113572,0.440972,0.051378,0
0.095726,0.439893,0.030723,0
0.17109,0.463446,0.478438,0
0.095196,0.439687,0.01894,0
0.09668,0.439877,0.037656,0
0.097805,0.44053,0.03033,0
0.101911,0.439933,0.037077,0
0.211392,0.450709,0.947007,1
0.078381,0.439488,0.015881,0
0.092562,0.439768,0.024292,0
0.06815,0.439015,0.004579,0
0.103112,0.440208,0.016363,0
0.110969,0.440933,0.025632,0
0.111015,0.440025,0.059464,0
0.149216,0.464293,0.136269,1
0.106488,0.440822,0.034853,0
0.097232,0.439716,0.021422,0
0.116535,0.440936,0.27852,0
0.10683,0.44002,0.061299,0
0.088393,0.439493,0.031927,0
0.089883,0.43935,0.016759,0
0.164834,0.463274,0.256296,1
0.080206,0.439785,0.029855,0
0.097543,0.439856,0.017516,0
0.104893,0.440348,0.009112,1
0.124297,0.442401,0.069262,0
0.144861,0.462598,0.09709,0
0.1101,0.440051,0.027109,0
0.099086,0.440283,0.021717,0
0.11025,0.43995,0.043655,0
0.098348,0.439807,0.051861,0
0.125063,0.441434,0.12662,0
0.07655,0.439449,0.011769,0
0.109986,0.44134,0.031888,0
0.093607,0.439781,0.049908,0
0.104842,0.440191,0.037574,0
0.205758,0.468676,0.992154,0
0.095713,0.440669,0.021558,0
0.083055,0.439222,0.01475,0
0.195399,0.452194,0.967975,0
0.091408,0.439564,0.032851,0
0.142809,0.463296,0.124543,0
0.121393,0.442256,0.067421,0
0.10272,0.440025,0.03538,1
0.090855,0.440711,0.01856,0
0.152311,0.462706,0.038298,1
0.158705,0.463061,0.064463,0
0.086666,0.439923,0.026203,0
0.120051,0.44241,0.094984,0
0.11515,0.44091,0.071154,1
0.107472,0.439995,0.046976,1
0.078977,0.439159,0.015172,0
0.100549,0.440948,0.041261,0
0.075498,0.439587,0.015657,0
0.088733,0.439347,0.014787,1
0.113205,0.440022,0.085457,0
0.086523,0.43935,0.02014,0
0.106264,0.440025,0.031846,0
0.098567,0.439949,0.028076,0
0.101534,0.44092,0.026573,0
0.086085,0.43935,0.065189,0
0.088008,0.439773,0.032541,0
0.08214,0.439193,0.009717,0
0.100807,0.440694,0.034892,0
0.086845,0.439867,0.024569,0
0.159751,0.464585,0.115689,1
0.11388,0.441014,0.037185,1
0.088421,0.439837,0.032202,0
0.102015,0.440397,0.071803,0
0.098999,0.439809,0.007952,0
0.094439,0.439244,0.021155,0
0.124075,0.44245,0.130652,0
0.107909,0.439932,0.043905,0
0.128911,0.442558,0.062483,0
0.146201,0.463103,0.034884,0
0.128196,0.441696,0.076226,0
0.161585,0.464274,0.709288,0
0.109177,0.442379,0.040085,0
0.317574,0.481306,1,1
0.088691,0.44052,0.075237,0
0.157993,0.464019,0.184619,0
0.113346,0.441434,0.062792,0
0.126822,0.442694,0.112048,0
0.108638,0.439855,0.062458,0
0.09386,0.440423,0.016409,0
0.076629,0.439015,0.012999,0
0.082812,0.439614,0.040107,0
0.116663,0.441412,0.062358,0
0.067894,0.438904,0.009144,0
0.109426,0.440865,0.074185,0
0.119936,0.442565,0.050411,0
0.097956,0.440571,0.01641,0
0.07199,0.438895,0.010677,0
0.124683,0.44266,0.077007,1
0.097247,0.439791,0.050288,0
0.112914,0.442498,0.021573,0
0.109346,0.439913,0.031069,0
0.102988,0.44181,0.015163,0
0.111982,0.44002,0.190674,0
0.088458,0.439893,0.030876,0
0.081359,0.439568,0.015357,0
0.123377,0.441085,0.07409,0
0.134449,0.462528,0.024027,0
0.109199,0.440865,0.065606,0
0.110809,0.440429,0.02541,0
0.114899,0.440758,0.203122,0
0.111087,0.441453,0.037935,0
0.145392,0.463842,0.049073,0
0.118573,0.442385,0.05237,0
0.114139,0.441051,0.027834,0
0.092971,0.440958,0.022225,0
0.094057,0.439661,0.042307,0
0.141691,0.463869,0.04012,0
0.099134,0.440788,0.02219,0
0.108921,0.441439,0.047341,0
0.085577,0.44019,0.070646,0
0.090414,0.439571,0.025127,0
0.103713,0.439759,0.062932,0
0.09905,0.439949,0.018907,0
0.087757,0.439922,0.013534,0
0.115747,0.441051,0.058182,0
0.08881,0.439706,0.027583,0
0.119862,0.441866,0.062907,0
0.092509,0.439851,0.025841,0
0.119811,0.442473,0.055455,0
0.110265,0.440998,0.061055,0
0.1069,0.440322,0.045496,0
0.150224,0.464022,0.23443,0
0.115217,0.442534,0.045015,0
0.102707,0.441094,0.038653,0
0.1247,0.442313,0.100592,0
0.082879,0.439614,0.016204,0
0.113006,0.439939,0.068837,0
0.157944,0.443711,0.899865,1
0.112633,0.440354,0.112805,0
0.189253,0.469117,0.994384,0
0.09954,0.43969,0.046826,1
0.130793,0.4427,0.063901,0
0.187894,0.468455,0.987426,0
0.167192,0.464535,0.191512,0
0.148804,0.463235,0.082202,0
0.086685,0.440574,0.078824,0
0.08928,0.440235,0.016598,0
0.092242,0.439893,0.041172,0
0.107189,0.440871,0.043281,0
0.106712,0.440896,0.053573,0
0.107955,0.439771,0.05139,0
0.158889,0.464522,0.609634,0
0.09929,0.44069,0.069288,0
0.119458,0.442591,0.054881,0
0.090914,0.439837,0.033951,0
0.106315,0.440033,0.053663,0
0.174866,0.45161,0.989655,0
0.068667,0.439068,0.004736,0
0.134571,0.441575,0.112215,0
0.0888,0.440736,0.022596,0
0.102827,0.439969,0.025423,0
0.09646,0.44068,0.104181,0
0.124456,0.441048,0.06387,1
0.131024,0.442649,0.061516,0
0.113016,0.441493,0.051422,1
0.158912,0.442786,0.944688,0
0.094745,0.441152,0.026159,0
0.081652,0.439359,0.013818,0
0.168401,0.450365,0.818525,0
0.113134,0.442466,0.033183,0
0.101743,0.439814,0.072375,0
0.077225,0.439849,0.115101,0
0.098339,0.43957,0.034521,0
0.172995,0.451321,0.999605,0
0.115203,0.440963,0.073832,0
0.173362,0.464375,0.425837,0
0.101622,0.440078,0.034326,0
0.105109,0.440822,0.04171,0
0.111908,0.439844,0.069534,0
0.08187,0.439117,0.017093,0
0.130965,0.442504,0.094538,0
0.149028,0.464135,0.08422,0
0.152924,0.442844,0.515754,0
0.103085,0.439986,0.045936,0
0.102013,0.439813,0.017621,0
0.148845,0.441358,0.582571,0
0.096248,0.440147,0.032574,0
0.09657,0.441037,0.029381,0
0.092853,0.43938,0.021091,0
0.110334,0.44154,0.02841,1
0.110729,0.440003,0.052524,0
0.125068,0.442742,0.068477,0
0.099537,0.4414,0.044385,1
0.163792,0.464022,0.190234,0
0.099092,0.44082,0.01124,0
0.11296,0.441466,0.053383,0
0.122568,0.441183,0.085002,1
0.092325,0.439722,0.045908,1
0.106965,0.4414,0.03889,0
0.096374,0.440741,0.012559,0
0.090995,0.439257,0.016922,0
0.118034,0.441968,0.024096,0
0.103097,0.440758,0.019584,0
0.082883,0.439701,0.016876,0
0.10571,0.441678,0.043729,0
0.112228,0.44117,0.032417,0
0.122995,0.441167,0.066148,0
0.105054,0.439999,0.042925,0
0.139568,0.463256,0.086179,0
0.119749,0.441183,0.062071,0
0.101709,0.440594,0.044039,0
0.11079,0.439758,0.0975,1
0.117926,0.442538,0.044998,0
0.109375,0.439827,0.044428,0
0.089599,0.439614,0.010524,0
0.10008,0.43999,0.041999,0
0.149354,0.464551,0.091709,0
0.115023,0.439851,0.134002,0
0.151604,0.463459,0.121475,0
0.091979,0.440557,0.033358,0
0.12351,0.44123,0.08893,0
0.093754,0.439824,0.04306,0
0.082232,0.439444,0.011892,0
0.086663,0.439557,0.030035,0
0.103853,0.440025,0.023971,0
0.090496,0.439923,0.015602,1
0.088049,0.439837,0.035212,0
0.112893,0.440022,0.064845,0
0.098045,0.439633,0.03954,0
0.076271,0.439204,0.0152,0
0.107396,0.440303,0.042674,0
0.088516,0.439851,0.023281,0
0.112054,0.439969,0.061095,0
0.114237,0.441495,0.043673,0
0.110649,0.439905,0.065702,0
0.099897,0.442146,0.015887,0
0.19861,0.468923,0.999172,0
0.119951,0.440996,0.083241,0
0.106383,0.442117,0.025199,0
0.113304,0.439851,0.082086,1
0.083914,0.439341,0.017606,0
0.0786,0.439494,0.022396,0
0.110139,0.441422,0.031598,1
0.110599,0.439512,0.030984,0
0.107956,0.441721,0.066528,0
0.082889,0.440024,0.014946,0
0.083804,0.439159,0.015179,0
0.204405,0.46985,0.958949,0
0.097733,0.439986,0.034059,0
0.074407,0.438956,0.009603,0
0.092393,0.439406,0.015501,0
0.144873,0.463212,0.101811,0
0.20889,0.47016,0.997629,1
0.081163,0.438981,0.006211,0
0.113292,0.442314,0.074345,0
0.115165,0.44117,0.06615,0
0.094978,0.44052,0.03848,1
0.099422,0.439821,0.152186,0
0.115411,0.440932,0.039694,0
0.100784,0.439836,0.03182,0
0.083543,0.440344,0.01371,0
0.073746,0.439489,0.008467,0
0.179645,0.463938,0.676915,0
0.178064,0.450646,0.945714,0
0.087234,0.439774,0.029968,0
0.156557,0.46369,0.106677,1
0.125332,0.442457,0.1062,0
0.093265,0.440792,0.022885,0
0.115329,0.442528,0.043262,1
0.156521,0.462727,0.104704,0
0.086914,0.439672,0.030393,0
0.096669,0.441722,0.012475,0
0.116717,0.441287,0.050839,0
0.149022,0.462901,0.109356,0
0.09435,0.439443,0.021287,0
0.0765,0.439071,0.009391,1
0.112069,0.44147,0.059319,0
0.107607,0.440415,0.112449,1
0.083485,0.439837,0.025613,0
0.073888,0.438909,0.025944,0
0.118099,0.440333,0.073225,0
0.154367,0.451136,0.999066,1
0.093933,0.44005,0.031248,0
0.150442,0.463955,0.070375,0
0.118324,0.439509,0.043528,0
0.10513,0.439892,0.034882,0
0.121537,0.441599,0.079211,0
0.194022,0.469241,0.994688,0
0.152779,0.463318,0.122983,0
0.106582,0.441383,0.057132,0
0.117744,0.44117,0.024547,0
0.087086,0.439558,0.024973,0
0.080862,0.439905,0.014035,1
0.173408,0.463882,0.647474,0
0.111344,0.440822,0.041648,0
0.103617,0.439927,0.043451,0
0.104934,0.44103,0.041058,0
0.098285,0.441154,0.039295,0
0.091852,0.439956,0.027495,0
0.099798,0.441159,0.017289,0
0.093924,0.439821,0.033672,0
0.098678,0.440966,0.029561,0
0.07637,0.439438,0.047695,0
0.089808,0.439766,0.016148,0
0.110686,0.440688,0.110039,0
0.142704,0.463395,0.035457,1
0.078498,0.438923,0.008357,0
0.151181,0.463308,0.149516,0
0.072589,0.439438,0.016374,0
0.096201,0.439347,0.022059,0
0.090019,0.439821,0.035209,0
0.10027,0.44053,0.039643,0
0.116634,0.442591,0.040534,0
0.187742,0.451703,0.888003,0
0.147089,0.463929,0.148419,0
0.08521,0.439672,0.033644,0
0.091547,0.439856,0.019868,0
0.089685,0.440434,0.046526,0
0.119928,0.442351,0.070879,0
0.094174,0.440583,0.043959,1
0.101931,0.440826,0.171294,0
0.194721,0.464024,0.890582,1
0.148536,0.464369,0.088717,0
0.118145,0.440318,0.148812,0
0.106286,0.440456,0.066973,0
0.08994,0.439821,0.030137,0
0.12603,0.462395,0.015062,0
0.101644,0.439986,0.043357,0
0.118961,0.441204,0.084266,0
0.085715,0.437316,0.025345,0
0.118808,0.441834,0.066948,0
0.0815,0.439577,0.01171,0
0.087093,0.440011,0.116918,0
